Location,Lat,Long,WC_TEMP,WC_SUMMER,WC_PREC,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,MEAN,SumT,Depth,Elev
L50,56.583,-64.583,-6.3,8.4,62.3,-23.2,-22.3,-17.5,-9.8,-1.5,5.1,9.6,8.4,3.3,-3,-9.8,-19.1,-6.65,9,9,585
L54,56.25,-63.917,-5.8,8.6,66.1,-22.4,-21.4,-16.5,-9.2,-0.9,5.7,10.2,8.9,4,-2.4,-9,-18.2,-5.933333333,9.55,3,475
L56,56.25,-64.417,-5.8,9,61.8,-22.7,-21.7,-16.7,-9.2,-0.8,5.8,10.4,9,4,-2.4,-9.2,-18.6,-6.008333333,9.7,6,470
L58,54.917,-62.75,-5.3,8.9,85.9,-21.9,-20.6,-15.2,-8.2,0,6.7,11.3,9.8,4.8,-1.8,-8.6,-17.8,-5.125,10.55,4,570
L61,54.917,-63.25,-5.3,9.1,81.1,-22.8,-21.4,-16,-8.9,-0.4,6.5,11.1,9.5,4.3,-2.4,-9.5,-18.9,-5.741666667,10.3,7,530
L64,55.083,-63.083,-5.5,8.9,81.7,-22.4,-21.1,-15.9,-8.9,-0.4,6.4,11.1,9.5,4.4,-2.3,-9.2,-18.4,-5.6,10.3,13,585
VI-04-01,66.93,-105.91,-13.4,6.6,17.1,-32.9,-32.3,-29,-19.3,-7.2,3.4,9.3,7.6,0.8,-9.2,-21.8,-28.6,-13.26666667,8.45,2.7,236
VI-04-02,65.02,-107.41,-11.5,8.1,22.1,-31.9,-30.5,-26.6,-15.8,-4.1,5.4,10.9,9.4,2.5,-6.7,-19.4,-27.2,-11.16666667,10.15,2.6,330
VI-04-03,65.12,-107.39,-11.6,8.1,22.1,-31.9,-30.5,-26.6,-15.8,-4.1,5.4,10.9,9.4,2.5,-6.7,-19.4,-27.2,-11.16666667,10.15,3.6,315
VI-04-04,65.2,-107.46,-11.7,8,22,-32,-30.7,-26.9,-16.2,-4.4,5.2,10.7,9.2,2.3,-6.9,-19.6,-27.4,-11.39166667,9.95,8.6,332
VI-04-05,65.26,-107.47,-11.8,7.9,21.5,-32,-30.7,-26.9,-16.2,-4.4,5.2,10.7,9.2,2.3,-6.9,-19.6,-27.4,-11.39166667,9.95,3.2,322
VI-04-06,65.36,-107.42,-11.9,7.9,21.3,-32.1,-30.9,-27.1,-16.5,-4.7,5,10.6,9,2.1,-7.2,-19.9,-27.5,-11.6,9.8,3.95,360
VI-04-07,65.62,-107.44,-12.2,7.5,20.9,-32.2,-31,-27.3,-16.8,-5,4.8,10.4,8.9,2,-7.4,-20.1,-27.6,-11.775,9.65,4,380
VI-04-08,65.71,-107.52,-12.4,7.3,20.8,-32.2,-31.1,-27.6,-17.2,-5.4,4.5,10.2,8.6,1.7,-7.8,-20.4,-27.8,-12.04166667,9.4,9.5,367
VI-04-09,65.84,-107.43,-12.6,7.2,20.5,-32.4,-31.4,-27.9,-17.6,-5.8,4.3,10,8.4,1.5,-8,-20.7,-28,-12.3,9.2,4.8,339
VI-04-10,65.97,-107.5,-13.2,6.5,21.4,-32.4,-31.4,-27.9,-17.6,-5.8,4.3,10,8.4,1.5,-8,-20.7,-28,-12.3,9.2,5.6,419
VI-04-11,65.07,-107.23,-11.7,8,22.1,-32,-30.6,-26.7,-15.9,-4.2,5.3,10.8,9.3,2.4,-6.8,-19.5,-27.3,-11.26666667,10.05,5.1,398
VI-04-12,66.04,-107.07,-12.7,7.1,20,-32.4,-31.4,-27.9,-17.7,-5.8,4.3,10.1,8.5,1.5,-8.1,-20.7,-28,-12.3,9.3,5.5,370
VI-04-13,66.04,-106.88,-12.7,7.2,19.5,-32.4,-31.3,-27.8,-17.6,-5.7,4.5,10.2,8.6,1.7,-8,-20.7,-27.9,-12.2,9.4,4.2,308
VI-04-14,66.78,-106.69,-13,7,17.3,-32.6,-31.8,-28.5,-18.7,-6.6,3.8,9.8,8,1.1,-8.8,-21.4,-28.3,-12.83333333,8.9,1.6,263
VI-04-15,66.79,-106.04,-13.1,6.8,17.2,-32.8,-32.1,-28.8,-18.9,-6.8,3.6,9.5,7.8,1,-9,-21.6,-28.5,-13.05,8.65,2.4,208
VI-04-16,66.88,-106.03,-13.2,6.7,17.1,-32.8,-32.2,-28.9,-19.1,-7,3.5,9.5,7.7,0.9,-9.1,-21.7,-28.5,-13.14166667,8.6,2.1,186
VI-04-17,67.02,-106.08,-13.4,6.5,17.1,-33,-32.4,-29.2,-19.5,-7.4,3.2,9.2,7.5,0.6,-9.5,-22,-28.7,-13.43333333,8.35,1,174
VI-04-18,67.17,-106.18,-13.5,6.4,16.8,-33,-32.4,-29.3,-19.7,-7.6,3.2,9.2,7.4,0.5,-9.6,-22.1,-28.7,-13.50833333,8.3,2.05,198
VI-04-19,67.27,-106.2,-13.6,6.3,16.5,-33,-32.4,-29.3,-19.7,-7.6,3.2,9.2,7.4,0.5,-9.6,-22.1,-28.7,-13.50833333,8.3,1.7,186
VI-04-20,67.34,-106.25,-13.6,6.3,16.3,-33,-32.5,-29.4,-19.9,-7.8,3,9.1,7.3,0.4,-9.8,-22.3,-28.8,-13.64166667,8.2,0.95,179
VI-04-21,67.4,-106.28,-13.7,6.4,16.3,-33,-32.5,-29.4,-19.9,-7.8,3,9.1,7.3,0.4,-9.8,-22.3,-28.8,-13.64166667,8.2,0.9,167
VI-04-22,67.51,-106.22,-13.6,6.3,16.1,-33,-32.5,-29.5,-20.1,-7.9,3,9.1,7.3,0.4,-9.9,-22.4,-28.8,-13.69166667,8.2,1.1,142
VI-04-23,67.57,-106.3,-13.6,6.4,15.6,-33,-32.5,-29.5,-20.1,-7.9,3,9.1,7.3,0.4,-9.9,-22.4,-28.8,-13.69166667,8.2,1.2,121
VI-04-24,67.64,-106.38,-13.4,6.6,15,-32.9,-32.5,-29.4,-20,-7.8,3.1,9.2,7.3,0.5,-9.8,-22.3,-28.7,-13.60833333,8.25,0.95,77
VI-04-25,67.75,-106.38,-13.7,6.4,15.1,-32.9,-32.5,-29.5,-20.1,-7.9,3,9.2,7.3,0.4,-10,-22.4,-28.8,-13.68333333,8.25,0.95,105
